,Timestamp,CPU %,Memory %
290,29200,51.0,94
291,29260,51.0,93
292,29270,47.0,93
293,29300,48.0,93
294,29450,52.0,90
295,29520,51.0,91
296,29530,53.0,91
297,33290,48.0,92
298,33340,51.0,92
299,33780,43.0,90
300,33790,45.0,89
301,33860,48.0,90
302,33870,45.0,90
303,34000,49.0,90
304,34060,57.0,90
305,34120,49.0,90
306,34470,41.0,90
307,34560,48.0,91
308,34600,42.0,90
309,34640,37.0,89
310,34770,41.0,89
311,34870,52.0,88
312,34990,40.0,89
313,35060,46.0,91
314,35150,41.0,89
315,35200,54.0,90
316,35310,48.0,90
317,35320,50.0,91
318,35360,44.0,91
319,35410,46.0,91
320,35420,42.0,91
321,35500,48.0,90
322,35560,53.0,93
323,35970,47.0,89
324,36230,49.0,91
325,36300,48.0,92
326,36490,55.0,89
327,36580,55.0,91
328,36720,45.0,91
329,36790,43.0,91
330,36820,39.0,91
331,36930,49.0,93
332,37040,42.0,92
333,37200,44.0,91
334,37250,44.0,92
335,37380,40.0,91
336,37510,44.0,90
337,38140,36.0,88
338,38250,28.0,87
339,38410,37.0,88
340,38460,34.0,89
341,38520,33.0,88
342,38570,40.0,89
343,38790,34.0,88
344,38840,38.0,89
345,38850,39.0,89
346,39000,39.0,90
347,39150,34.0,91
348,39190,32.0,88
349,39330,35.0,90
350,39510,31.0,89
351,39910,50.0,95
352,39970,44.0,92
353,40010,53.0,94
354,40050,44.0,93
355,40110,40.0,93
356,40170,43.0,93
357,40230,42.0,92
358,40280,53.0,92
359,40420,54.0,92
360,40450,53.0,91
361,40600,55.0,91
362,40620,49.0,89
363,40680,53.0,90
364,40700,48.0,91
365,40860,52.0,91
366,40950,53.0,92
367,41920,38.0,89
368,42000,30.0,89
369,42060,33.0,90
370,42200,34.0,89
371,42330,34.0,90
372,42530,38.0,90
373,42570,43.0,91
374,42590,44.0,91
375,42670,48.0,91
376,42690,46.0,91
377,42710,43.0,91
378,42870,45.0,92
379,42890,43.0,91
380,42930,44.0,92
381,43050,42.0,91
382,43060,39.0,92
383,43120,45.0,93
384,43140,53.0,93
385,43230,38.0,92
386,43330,44.0,92
387,43450,59.0,92
388,43550,37.0,93
389,43600,40.0,91
390,43660,37.0,90
391,43700,36.0,90
392,43950,45.0,95
393,44070,42.0,97
394,44090,46.0,98
395,44190,39.0,96
396,44290,38.0,92
397,44300,37.0,92
398,44450,51.0,91
399,44480,49.0,91
400,44520,52.0,92
401,44550,51.0,91
402,44690,48.0,91
403,44760,48.0,91
404,44780,47.0,91
405,44800,47.0,91
406,44820,47.0,90
407,44830,46.0,90
408,44910,44.0,89
409,44970,47.0,90
410,45100,48.0,92
411,45230,46.0,90
412,45250,47.0,90
413,45260,45.0,90
414,45590,47.0,90
415,45710,48.0,90
416,45850,49.0,90
417,45910,49.0,90
418,45940,49.0,90
419,45970,53.0,90
420,45980,49.0,90
421,45990,50.0,90
422,46000,53.0,91
423,46070,50.0,93
424,46120,56.0,95
425,46520,51.0,93
426,46530,49.0,93
427,46970,37.0,92
428,46990,37.0,92
429,47110,38.0,93
430,47130,37.0,93
431,47240,38.0,95
432,47310,36.0,95
433,47500,52.0,96
434,47520,45.0,96
435,47530,42.0,96
436,47540,39.0,96
437,47640,40.0,96
438,47650,41.0,95
439,47660,41.0,95
440,47790,49.0,97
441,47890,42.0,94
442,47900,61.0,95
443,47910,34.0,93
444,48020,35.0,92
445,48090,34.0,91
446,48240,54.0,95
447,48250,56.0,94
448,48260,52.0,94
449,48320,42.0,94
450,48350,38.0,93
451,48380,37.0,94
452,48530,44.0,92
453,48730,39.0,92
454,48750,39.0,93
455,48880,40.0,94
456,48940,40.0,94
457,49110,35.0,92
458,49160,33.0,92
459,49250,50.0,92
460,49260,53.0,93
461,49350,58.0,94
462,49430,52.0,91
463,49480,34.0,90
464,49910,39.0,93
465,49920,39.0,94
466,49950,36.0,95
467,50090,45.0,95
468,50160,36.0,94
469,50360,36.0,91
470,50370,39.0,91
471,50380,37.0,91
472,50470,42.0,92
473,50860,42.0,94
474,50870,44.0,94
475,51000,59.0,94
476,51130,49.0,93
477,51140,46.0,93
478,51180,47.0,93
479,51190,50.0,93
480,51380,45.0,94
481,51740,38.0,94
482,51930,37.0,93
483,51990,32.0,92
484,52240,34.0,91
485,52260,31.0,92
486,52320,31.0,92
487,52330,36.0,92
488,52430,42.0,94
489,52610,39.0,94
490,52860,34.0,93
491,52900,49.0,94
492,53000,33.0,92
493,53300,32.0,93
494,53350,37.0,94
495,53690,35.0,95
496,53750,32.0,94
497,53760,31.0,93
498,53890,38.0,93
499,53900,35.0,93
500,53970,32.0,94
501,54000,37.0,93
502,54010,38.0,94
503,54030,34.0,94
504,54140,32.0,94
505,54180,37.0,97
506,54260,33.0,97
507,54290,38.0,97
508,54350,36.0,98
509,54480,41.0,98
510,54740,32.0,91
511,54830,36.0,92
512,54890,34.0,93
513,55050,30.0,91
514,55190,46.0,93
515,55240,47.0,94
