,Timestamp,CPU %,Memory %
7043212,100,19.0,92
7043213,120,20.0,92
7043214,150,21.0,92
7043215,490,28.0,95
7043216,500,27.0,95
7043217,550,28.0,95
7043218,560,26.0,95
7043219,620,28.0,95
7043220,680,24.0,93
7043221,890,20.0,92
7043222,990,28.0,93
7043223,1100,30.0,94
7043224,1220,29.0,95
7043225,1360,29.0,90
7043226,1540,26.0,91
7043227,1640,40.0,92
7043228,1690,37.0,92
7043229,1780,32.0,93
7043230,1830,36.0,94
7043231,1850,35.0,94
7043232,1930,28.0,90
7043233,1960,27.0,89
7043234,1980,30.0,90
7043235,2020,27.0,89
7043236,2030,26.0,89
7043237,2160,21.0,88
7043238,2200,20.0,87
7043239,2380,21.0,87
7043240,2430,23.0,88
7043241,2450,27.0,89
7043242,2530,37.0,90
7043243,2550,34.0,90
7043244,2690,22.0,90
7043245,2710,27.0,90
7043246,3030,33.0,91
7043247,3040,35.0,92
7043248,3110,32.0,91
7043249,3160,31.0,91
7043250,3330,27.0,90
7043251,3420,38.0,92
7043252,3530,26.0,91
7043253,3640,30.0,92
7043254,3650,31.0,92
7043255,3660,30.0,93
7043256,3670,30.0,93
7043257,3690,29.0,93
7043258,3700,28.0,93
7043259,3810,35.0,96
7043260,3970,30.0,96
7043261,4020,32.0,96
7043262,4130,25.0,93
7043263,4160,26.0,92
7043264,4250,32.0,92
7043265,4370,21.0,91
7043266,4430,19.0,88
7043267,4440,21.0,88
7043268,4520,23.0,89
7043269,4860,43.0,91
7043270,4910,37.0,86
7043271,4920,36.0,86
7043272,5000,33.0,85
7043273,5080,28.0,85
7043274,5090,31.0,85
7043275,5220,36.0,86
7043276,5330,29.0,83
7043277,5390,30.0,84
7043278,5510,40.0,87
7043279,5710,43.0,89
7043280,5730,42.0,89
7043281,5780,36.0,87
7043282,6000,30.0,87
7043283,6340,34.0,88
7043284,6430,33.0,86
7043285,6450,34.0,86
7043286,6490,30.0,86
7043287,6530,28.0,88
7043288,6560,27.0,87
7043289,6640,32.0,88
7043290,6820,32.0,87
7043291,6890,32.0,88
7043292,6900,31.0,88
7043293,6920,32.0,88
7043294,6950,29.0,88
7043295,7000,31.0,88
7043296,7030,28.0,88
7043297,7340,37.0,91
7043298,7640,31.0,89
7043299,7670,31.0,90
7043300,7730,27.0,89
7043301,7800,28.0,89
7043302,7900,46.0,90
7043303,7970,48.0,88
7043304,8010,38.0,89
7043305,8080,36.0,89
7043306,8140,36.0,87
7043307,8410,48.0,86
7043308,8600,33.0,85
7043309,8620,30.0,86
7043310,8630,34.0,86
7043311,8770,30.0,85
7043312,8910,32.0,85
7043313,8940,25.0,84
7043314,9240,33.0,86
7043315,9320,32.0,87
7043316,9340,33.0,87
7043317,9490,28.0,85
7043318,10320,39.0,88
7043319,10420,30.0,89
7043320,10510,32.0,89
7043321,10550,27.0,88
7043322,10630,27.0,86
7043323,10660,26.0,86
7043324,10750,26.0,87
7043325,10790,28.0,88
7043326,10830,29.0,88
7043327,10840,30.0,87
7043328,10930,26.0,87
7043329,10940,23.0,87
7043330,11020,27.0,88
7043331,11200,23.0,89
7043332,11350,23.0,90
7043333,11530,29.0,85
7043334,11540,22.0,85
7043335,11600,29.0,85
7043336,11650,30.0,86
7043337,11670,27.0,85
7043338,11870,28.0,86
7043339,11920,19.0,85
7043340,12010,31.0,86
7043341,12020,28.0,86
7043342,12110,27.0,86
7043343,12170,30.0,86
7043344,12250,38.0,88
7043345,12360,53.0,92
7043346,12660,36.0,89
7043347,12720,31.0,87
7043348,12990,32.0,85
7043349,13000,30.0,85
7043350,13270,33.0,88
7043351,13300,47.0,88
7043352,13340,43.0,90
7043353,13430,36.0,92
7043354,13520,30.0,92
7043355,13600,24.0,88
7043356,13790,35.0,91
7043357,13840,35.0,91
7043358,13940,37.0,90
7043359,14050,36.0,89
7043360,14330,52.0,95
7043361,14420,31.0,93
7043362,14620,41.0,92
7043363,14700,48.0,94
7043364,14950,35.0,93
7043365,15040,35.0,93
7043366,15070,47.0,93
7043367,16220,33.0,92
7043368,16330,36.0,92
7043369,16500,26.0,93
7043370,16510,30.0,93
7043371,16580,26.0,94
7043372,16600,26.0,94
7043373,16650,28.0,93
7043374,16680,28.0,93
7043375,16720,24.0,92
7043376,16780,26.0,91
7043377,16790,26.0,92
7043378,16850,30.0,93
7043379,16860,29.0,93
7043380,16970,27.0,93
7043381,17020,35.0,94
7043382,17060,31.0,93
7043383,17120,27.0,93
7043384,17130,28.0,93
7043385,17150,38.0,95
7043386,17220,46.0,95
7043387,17410,44.0,92
7043388,17480,36.0,94
7043389,17610,32.0,92
7043390,17680,31.0,90
7043391,17720,26.0,91
7043392,17820,34.0,92
7043393,17980,30.0,91
7043394,18000,26.0,91
7043395,18030,30.0,91
7043396,18060,34.0,94
7043397,18120,35.0,92
7043398,18260,29.0,91
7043399,18300,33.0,92
7043400,18450,32.0,94
7043401,18520,37.0,94
7043402,18590,40.0,95
7043403,18760,42.0,95
7043404,18910,37.0,91
7043405,18990,28.0,92
7043406,19030,32.0,91
7043407,19180,26.0,89
7043408,19210,34.0,88
7043409,19370,31.0,90
7043410,19480,30.0,91
7043411,19770,38.0,92
7043412,19850,38.0,92
7043413,20060,39.0,94
7043414,20400,54.0,96
7043415,20520,62.0,95
7043416,20710,65.0,89
7043417,21220,41.0,85
7043418,21280,58.0,88
7043419,21290,55.0,89
7043420,21350,41.0,89
7043421,21410,42.0,87
7043422,21480,45.0,86
7043423,21980,53.0,90
7043424,22070,45.0,86
7043425,22120,48.0,85
7043426,22410,73.0,91
7043427,22610,77.0,89
7043428,22690,84.0,90
7043429,22920,79.0,90
7043430,22940,75.0,90
7043431,23140,63.0,90
7043432,23210,68.0,92
7043433,23270,64.0,91
7043434,23380,60.0,89
7043435,23390,57.0,88
7043436,23440,61.0,89
7043437,23460,59.0,87
7043438,23480,54.0,88
7043439,23720,66.0,90
7043440,23790,57.0,91
7043441,24050,58.0,92
7043442,24060,57.0,92
7043443,24100,51.0,90
7043444,24190,63.0,92
7043445,24440,52.0,94
7043446,24560,55.0,93
7043447,24580,58.0,93
7043448,24630,68.0,96
7043449,24730,62.0,93
7043450,24760,63.0,93
7043451,25020,54.0,89
7043452,25030,57.0,89
7043453,25190,45.0,87
7043454,25210,56.0,88
7043455,25220,50.0,88
7043456,25500,53.0,89
7043457,25570,48.0,89
7043458,25620,49.0,90
7043459,25630,51.0,87
7043460,25730,63.0,88
7043461,25780,46.0,87
7043462,26000,48.0,89
7043463,26020,54.0,92
7043464,26100,50.0,89
7043465,26200,47.0,88
7043466,26380,49.0,88
7043467,26470,40.0,87
7043468,26690,45.0,89
7043469,26750,45.0,91
7043470,26780,44.0,92
7043471,26850,56.0,93
7043472,26880,55.0,95
7043473,26950,53.0,93
7043474,26960,53.0,94
7043475,26970,55.0,94
7043476,27020,50.0,93
7043477,27090,50.0,92
7043478,28040,45.0,92
7043479,28110,40.0,89
7043480,28340,41.0,89
7043481,28400,38.0,86
7043482,28410,38.0,87
7043483,28450,44.0,89
7043484,28470,40.0,89
7043485,28510,42.0,89
7043486,28530,43.0,89
7043487,28540,39.0,89
7043488,28760,42.0,92
7043489,28870,64.0,95
7043490,29030,56.0,93
7043491,29050,55.0,93
7043492,29200,56.0,93
7043493,29270,51.0,90
7043494,29410,44.0,89
7043495,29430,36.0,88
7043496,29440,39.0,89
7043497,29460,41.0,89
7043498,29550,35.0,87
7043499,29560,35.0,86
7043500,29580,37.0,86
7043501,29630,43.0,86
7043502,29700,47.0,89
7043503,29940,44.0,88
7043504,30000,46.0,89
7043505,30010,47.0,90
7043506,30060,44.0,89
7043507,30080,48.0,90
7043508,30180,49.0,90
7043509,30250,47.0,91
7043510,30340,54.0,93
7043511,30350,51.0,91
7043512,30710,42.0,89
7043513,30770,36.0,88
7043514,30840,35.0,86
7043515,31110,36.0,86
7043516,31180,42.0,88
7043517,31220,43.0,88
7043518,31260,38.0,89
7043519,31380,38.0,86
7043520,31410,34.0,86
7043521,31450,39.0,88
7043522,31490,36.0,89
7043523,31500,37.0,87
7043524,31640,37.0,88
7043525,31710,35.0,86
7043526,31720,36.0,86
7043527,31750,38.0,87
7043528,31790,35.0,88
7043529,32070,41.0,88
7043530,32190,40.0,89
7043531,32230,40.0,89
7043532,32440,40.0,90
7043533,32910,41.0,88
7043534,32920,40.0,89
7043535,33400,36.0,88
7043536,33860,44.0,89
7043537,33940,47.0,89
7043538,34090,46.0,88
7043539,34220,51.0,88
7043540,34280,46.0,89
7043541,34390,41.0,86
7043542,34420,34.0,87
7043543,34650,42.0,87
7043544,34820,46.0,87
7043545,34910,48.0,89
7043546,34940,45.0,89
7043547,34960,41.0,88
7043548,34980,42.0,89
7043549,35040,50.0,90
7043550,35120,50.0,90
7043551,35230,54.0,91
7043552,35300,48.0,90
7043553,35330,40.0,90
7043554,35440,46.0,91
7043555,35640,44.0,92
7043556,35790,46.0,90
7043557,35800,46.0,90
7043558,35850,41.0,89
