,Timestamp,CPU %,Memory %
5722696,930,12.0,85
5722697,970,24.0,84
5722698,1030,39.0,84
5722699,1060,12.0,85
5722700,1080,35.0,85
5722701,1090,42.0,85
5722702,1130,17.0,86
5722703,1140,27.0,86
5722704,1210,33.0,89
5722705,1320,25.0,87
5722706,1330,31.0,86
5722707,1400,28.0,86
5722708,1430,14.0,86
5722709,1460,32.0,85
5722710,1750,34.0,89
5722711,1770,11.0,89
5722712,1780,12.0,89
5722713,1810,45.0,89
5722714,1870,13.0,89
5722715,1970,9.0,85
5722716,1980,21.0,86
5722717,2030,22.0,86
5722718,2120,33.0,85
5722719,2210,16.0,85
5722720,2270,27.0,86
5722721,2350,40.0,86
5722722,2370,31.0,87
5722723,2400,24.0,87
5722724,2440,55.0,90
5722725,2610,9.0,89
5722726,2680,11.0,89
5722727,2880,15.0,86
5722728,2970,17.0,87
5722729,3030,40.0,88
5722730,3130,26.0,88
5722731,3150,17.0,88
5722732,3170,28.0,87
5722733,3180,14.0,86
5722734,3280,29.0,87
5722735,3430,31.0,89
5722736,3540,17.0,87
5722737,3560,36.0,87
5722738,3580,39.0,87
5722739,3590,12.0,87
5722740,3640,15.0,88
5722741,3680,29.0,89
5722742,3830,17.0,88
5722743,3840,19.0,88
5722744,3870,17.0,89
5722745,3920,20.0,89
5722746,3940,18.0,89
5722747,4020,19.0,89
5722748,4080,33.0,86
5722749,4250,17.0,83
5722750,4260,16.0,83
5722751,4350,16.0,83
5722752,4550,10.0,84
5722753,4840,36.0,86
5722754,4910,35.0,83
5722755,4970,24.0,81
5722756,5060,29.0,81
5722757,5080,34.0,80
5722758,5220,49.0,79
5722759,5510,37.0,82
5722760,5670,29.0,82
5722761,5760,25.0,81
5722762,5880,17.0,80
5722763,5970,20.0,79
5722764,6140,31.0,77
5722765,6170,20.0,77
5722766,6340,29.0,77
5722767,6480,25.0,80
5722768,6560,47.0,81
5722769,6920,20.0,80
5722770,7070,22.0,80
5722771,7090,31.0,80
5722772,7110,52.0,79
5722773,7180,15.0,80
5722774,7260,28.0,82
5722775,7290,43.0,81
5722776,7410,26.0,83
5722777,7650,28.0,82
5722778,7670,26.0,82
5722779,7830,30.0,82
5722780,8280,30.0,79
5722781,8390,37.0,79
5722782,8490,29.0,78
5722783,8590,29.0,78
5722784,8710,22.0,79
5722785,8780,57.0,79
5722786,8960,23.0,77
5722787,8980,22.0,77
5722788,9000,18.0,77
5722789,9280,49.0,78
5722790,9550,35.0,79
5722791,9650,36.0,78
5722792,9690,25.0,78
5722793,9720,18.0,78
5722794,9750,31.0,78
5722795,9810,27.0,77
5722796,9900,46.0,77
5722797,10060,27.0,76
5722798,10160,19.0,76
5722799,10200,46.0,76
5722800,10300,40.0,78
5722801,10390,25.0,77
5722802,10550,16.0,78
5722803,10710,21.0,76
5722804,10850,59.0,79
5722805,10880,27.0,80
5722806,11070,36.0,82
5722807,11280,10.0,81
5722808,11370,9.0,80
5722809,11610,31.0,76
5722810,11640,17.0,76
5722811,11720,42.0,77
5722812,11750,18.0,77
5722813,11790,25.0,78
5722814,11810,13.0,76
5722815,11870,12.0,76
5722816,12210,25.0,78
5722817,12230,21.0,79
5722818,12390,28.0,82
5722819,12440,29.0,80
5722820,12750,34.0,80
5722821,12800,23.0,80
5722822,12840,20.0,79
5722823,12910,30.0,77
5722824,13050,29.0,76
5722825,16360,18.0,79
5722826,16400,28.0,80
5722827,16420,28.0,80
5722828,16600,44.0,78
5722829,16780,38.0,80
5722830,16790,35.0,81
5722831,16810,34.0,82
5722832,16870,40.0,81
5722833,17040,15.0,79
5722834,17070,34.0,80
5722835,17220,47.0,84
5722836,17240,62.0,83
5722837,17250,40.0,83
5722838,17390,34.0,83
5722839,17580,23.0,82
5722840,17610,23.0,82
5722841,17670,34.0,82
5722842,17810,39.0,82
5722843,17900,33.0,82
5722844,18120,25.0,84
5722845,18140,23.0,83
5722846,18180,29.0,82
5722847,18250,30.0,82
5722848,18350,32.0,81
5722849,18420,35.0,83
5722850,18590,30.0,81
5722851,18630,21.0,83
5722852,18680,30.0,84
5722853,18690,27.0,84
5722854,18790,35.0,84
5722855,18850,44.0,84
5722856,18860,43.0,84
5722857,19040,31.0,84
5722858,19100,23.0,85
5722859,19370,14.0,81
5722860,19390,57.0,82
5722861,19520,31.0,83
5722862,19640,32.0,85
5722863,19650,32.0,85
5722864,19680,32.0,86
5722865,19720,43.0,88
5722866,19860,29.0,83
5722867,19880,34.0,83
5722868,19980,54.0,88
5722869,20050,35.0,88
