,Timestamp,CPU %,Memory %
18637591,26380,40.0,87
18637592,26560,37.0,86
18637593,26940,49.0,92
18637594,26960,47.0,92
18637595,27030,42.0,92
18637596,27380,49.0,91
18637597,27400,43.0,90
18637598,27420,38.0,90
18637599,27480,37.0,90
18637600,27490,40.0,90
18637601,27570,43.0,91
18637602,27670,39.0,91
18637603,27700,36.0,90
18637604,27710,36.0,90
18637605,27760,34.0,88
18637606,27840,30.0,90
18637607,27900,32.0,87
18637608,27940,36.0,88
18637609,28120,36.0,87
18637610,28150,38.0,87
18637611,28200,31.0,88
18637612,28350,30.0,89
18637613,28550,35.0,90
18637614,28600,38.0,92
18637615,28720,48.0,96
18637616,28860,64.0,95
18637617,28870,64.0,94
18637618,29030,49.0,92
18637619,29120,48.0,90
18637620,29140,55.0,89
18637621,29160,53.0,90
18637622,29330,47.0,91
18637623,29450,47.0,90
18637624,29580,53.0,92
18637625,29660,59.0,90
18637626,29680,56.0,90
18637627,29690,51.0,91
18637628,29780,51.0,91
18637629,29860,56.0,91
18637630,29890,60.0,92
18637631,30090,42.0,86
18637632,30110,40.0,86
18637633,30170,44.0,87
18637634,30320,52.0,90
18637635,30330,49.0,88
18637636,30360,48.0,89
18637637,30620,50.0,92
18637638,30790,42.0,85
18637639,30860,48.0,85
18637640,30880,54.0,85
18637641,30930,40.0,84
18637642,30940,41.0,84
18637643,31040,36.0,85
18637644,31140,43.0,86
18637645,31220,43.0,86
18637646,31230,43.0,86
18637647,31530,47.0,85
18637648,31540,45.0,85
18637649,31560,39.0,86
18637650,31600,35.0,85
18637651,31860,39.0,85
18637652,31870,41.0,85
18637653,31910,40.0,86
18637654,32080,41.0,87
18637655,32150,39.0,87
18637656,32190,41.0,87
18637657,32400,38.0,86
18637658,32530,47.0,85
18637659,32600,51.0,87
18637660,32630,52.0,88
18637661,32720,60.0,88
18637662,32820,47.0,87
18637663,32880,51.0,88
18637664,33010,61.0,90
18637665,33060,57.0,90
18637666,33260,55.0,90
18637667,33360,52.0,89
18637668,33490,43.0,88
18637669,33510,47.0,90
18637670,33570,48.0,90
18637671,33650,50.0,91
18637672,33730,53.0,91
18637673,33790,53.0,88
18637674,33810,58.0,89
18637675,34070,56.0,90
18637676,34100,47.0,87
18637677,34210,44.0,87
18637678,34280,47.0,87
18637679,34340,42.0,87
18637680,34390,37.0,85
18637681,34420,36.0,85
18637682,34660,38.0,86
18637683,34750,47.0,86
18637684,34900,45.0,87
18637685,34960,38.0,85
18637686,35100,40.0,86
18637687,35110,45.0,86
18637688,35140,42.0,86
18637689,35240,58.0,89
18637690,35270,57.0,89
18637691,35280,66.0,90
18637692,35320,42.0,88
18637693,35440,40.0,87
18637694,35530,41.0,87
18637695,35670,42.0,88
18637696,35750,46.0,88
18637697,35760,47.0,88
18637698,35820,40.0,87
18637699,35860,32.0,85
18637700,35990,37.0,88
18637701,36190,37.0,89
18637702,36200,37.0,89
18637703,36240,37.0,90
18637704,36270,40.0,91
18637705,36280,39.0,91
18637706,36380,36.0,86
18637707,36540,39.0,87
18637708,36620,51.0,87
18637709,36680,48.0,88
18637710,36810,45.0,89
18637711,36840,48.0,89
18637712,36880,40.0,88
18637713,37050,38.0,89
18637714,37110,42.0,89
18637715,37530,50.0,87
18637716,37590,43.0,86
18637717,37740,36.0,86
18637718,37840,51.0,89
18637719,37850,51.0,89
18637720,38000,40.0,89
18637721,38110,40.0,88
18637722,38150,33.0,86
18637723,38230,37.0,87
18637724,38310,33.0,87
18637725,38330,38.0,87
18637726,38380,33.0,87
18637727,38880,53.0,89
18637728,38970,45.0,89
18637729,38980,46.0,89
18637730,38990,45.0,89
18637731,39000,46.0,89
18637732,39170,39.0,87
18637733,39180,42.0,88
18637734,39360,33.0,89
18637735,39750,35.0,89
18637736,39770,36.0,89
18637737,39780,37.0,89
18637738,39830,36.0,90
18637739,39920,43.0,92
18637740,39990,42.0,92
18637741,40050,33.0,90
18637742,40320,52.0,89
18637743,40400,52.0,89
18637744,40410,51.0,89
18637745,40450,51.0,89
18637746,40460,51.0,89
18637747,40470,49.0,88
18637748,40700,51.0,89
18637749,41080,53.0,89
18637750,41090,52.0,89
18637751,41170,54.0,88
18637752,41320,40.0,90
18637753,41410,42.0,89
18637754,41810,35.0,88
18637755,41820,37.0,88
18637756,41900,41.0,89
18637757,41990,33.0,88
18637758,42040,49.0,89
18637759,42050,42.0,89
18637760,42180,37.0,88
18637761,42280,36.0,88
18637762,42390,35.0,88
18637763,42400,35.0,89
18637764,42510,36.0,89
18637765,42640,42.0,88
18637766,42750,46.0,89
18637767,42900,36.0,87
18637768,42920,36.0,88
18637769,42990,42.0,89
18637770,43010,42.0,90
18637771,43030,48.0,89
18637772,43040,38.0,89
18637773,43080,41.0,91
18637774,43130,49.0,91
18637775,43200,40.0,90
18637776,43260,45.0,91
18637777,43370,42.0,89
18637778,43660,33.0,89
18637779,43680,36.0,89
18637780,43720,37.0,89
18637781,43730,30.0,88
18637782,43840,34.0,91
18637783,43850,41.0,92
18637784,43870,37.0,91
18637785,43920,38.0,92
18637786,43940,34.0,92
18637787,43980,42.0,92
18637788,44030,39.0,92
18637789,45150,32.0,89
18637790,45170,30.0,89
18637791,45250,29.0,88
18637792,45330,25.0,88
18637793,45420,27.0,88
18637794,45560,51.0,90
18637795,45610,48.0,89
18637796,45640,47.0,89
18637797,45710,45.0,89
18637798,45730,46.0,89
18637799,46080,44.0,95
18637800,46140,46.0,96
18637801,46300,38.0,95
18637802,46360,40.0,92
18637803,46400,40.0,91
18637804,46470,36.0,91
18637805,46610,31.0,88
18637806,46650,30.0,87
18637807,46670,31.0,88
18637808,46690,33.0,87
18637809,46780,30.0,88
18637810,46820,40.0,89
18637811,47000,29.0,88
18637812,47050,34.0,89
18637813,47200,41.0,89
18637814,47310,37.0,91
18637815,47330,36.0,91
18637816,47470,39.0,91
18637817,47630,37.0,93
18637818,47680,41.0,92
18637819,47720,36.0,93
18637820,47780,44.0,94
18637821,47840,32.0,93
18637822,48020,39.0,93
18637823,48070,36.0,93
18637824,48120,33.0,93
18637825,48140,32.0,93
18637826,48190,33.0,93
18637827,48300,36.0,94
18637828,48330,31.0,92
18637829,48340,31.0,92
18637830,48530,42.0,91
18637831,48560,29.0,90
18637832,48640,42.0,92
18637833,48720,32.0,90
18637834,48800,31.0,92
18637835,48930,30.0,91
18637836,49100,34.0,93
18637837,49160,28.0,90
18637838,49280,52.0,93
18637839,49520,26.0,90
18637840,49600,25.0,89
18637841,49620,33.0,90
18637842,49640,32.0,89
18637843,49720,30.0,91
18637844,49730,33.0,91
18637845,49850,38.0,93
18637846,49920,31.0,93
18637847,49950,30.0,94
18637848,50040,28.0,94
18637849,50170,28.0,92
18637850,50200,26.0,92
18637851,50230,33.0,92
18637852,50330,52.0,94
18637853,50400,44.0,93
18637854,50620,38.0,93
18637855,50640,33.0,93
18637856,50730,37.0,93
18637857,50760,35.0,92
18637858,50940,29.0,92
18637859,51060,42.0,93
18637860,51090,38.0,91
18637861,51210,28.0,91
18637862,51340,32.0,89
