,Timestamp,CPU %,Memory %
19009576,280,16.0,86
19009577,340,17.0,86
19009578,460,35.0,92
19009579,970,27.0,89
19009580,1080,30.0,90
19009581,1330,30.0,92
19009582,1340,29.0,93
19009583,1360,27.0,92
19009584,1410,24.0,91
19009585,1500,27.0,92
19009586,1550,26.0,92
19009587,1610,28.0,93
19009588,2030,19.0,89
19009589,2060,21.0,89
19009590,2090,22.0,89
19009591,2200,19.0,89
19009592,2250,19.0,89
19009593,2270,19.0,90
19009594,2330,21.0,90
19009595,2350,22.0,90
19009596,2540,33.0,93
19009597,2610,37.0,94
19009598,2660,34.0,91
19009599,2690,33.0,91
19009600,2730,32.0,91
19009601,3060,33.0,93
19009602,3200,24.0,92
19009603,3230,24.0,92
19009604,3260,24.0,91
19009605,3420,22.0,92
19009606,3470,22.0,93
19009607,3580,18.0,92
19009608,3630,20.0,93
19009609,3960,25.0,94
19009610,4020,27.0,94
19009611,4110,22.0,92
19009612,4140,21.0,92
19009613,4190,21.0,92
19009614,4220,21.0,92
19009615,4300,15.0,90
19009616,4400,20.0,89
19009617,4480,21.0,90
19009618,4490,21.0,89
19009619,4620,33.0,92
19009620,4790,48.0,96
19009621,4970,32.0,86
19009622,4990,33.0,86
19009623,5010,31.0,86
19009624,5210,35.0,86
19009625,5330,32.0,86
19009626,5360,32.0,85
19009627,5420,39.0,88
19009628,5480,38.0,87
19009629,5610,45.0,88
19009630,5620,41.0,86
19009631,5670,38.0,88
19009632,6020,26.0,82
19009633,6080,23.0,83
19009634,6170,22.0,82
19009635,6210,22.0,81
19009636,6310,31.0,83
19009637,6420,24.0,83
19009638,6520,26.0,85
19009639,6610,37.0,88
19009640,6710,34.0,87
19009641,6750,30.0,86
19009642,6760,29.0,86
19009643,6770,30.0,86
19009644,7190,26.0,86
19009645,7310,35.0,86
19009646,7330,36.0,86
19009647,7360,34.0,87
19009648,7380,37.0,87
19009649,7430,29.0,86
19009650,7480,28.0,86
19009651,7680,28.0,87
19009652,7690,31.0,86
19009653,7740,23.0,86
