,Timestamp,CPU %,Memory %
14997601,0,8.0,85
14997602,90,7.0,84
14997603,120,7.0,84
14997604,160,6.0,84
14997605,230,8.0,85
14997606,330,7.0,84
14997607,350,10.0,85
14997608,380,23.0,88
14997609,430,25.0,90
14997610,490,30.0,91
14997611,540,21.0,89
14997612,630,23.0,89
14997613,690,18.0,86
14997614,750,19.0,86
14997615,850,20.0,86
14997616,1010,23.0,87
14997617,1170,29.0,89
14997618,1750,26.0,90
14997619,1790,26.0,91
14997620,1860,25.0,88
14997621,1870,24.0,89
14997622,1880,24.0,89
14997623,2090,19.0,87
14997624,2180,15.0,86
14997625,2240,14.0,87
14997626,2270,21.0,86
14997627,2340,12.0,85
14997628,2400,12.0,85
14997629,2500,28.0,90
14997630,2630,18.0,89
14997631,2670,19.0,86
14997632,2770,17.0,87
14997633,2800,14.0,85
14997634,2810,13.0,85
14997635,2820,14.0,85
14997636,2870,19.0,86
14997637,3150,18.0,88
14997638,3170,21.0,89
14997639,3320,14.0,86
14997640,3460,13.0,88
14997641,3480,13.0,88
14997642,3500,13.0,88
14997643,3530,16.0,89
14997644,3590,14.0,88
14997645,3790,29.0,91
14997646,3960,16.0,88
14997647,4000,24.0,89
14997648,4130,19.0,89
14997649,4320,15.0,87
14997650,4380,14.0,87
14997651,5160,32.0,82
14997652,5340,27.0,78
14997653,5360,27.0,79
14997654,5410,33.0,80
14997655,5420,32.0,80
14997656,5660,32.0,81
14997657,5680,31.0,82
14997658,5720,33.0,83
14997659,5780,38.0,80
14997660,6000,28.0,83
14997661,6050,23.0,82
14997662,6300,29.0,84
14997663,6320,28.0,83
14997664,6360,26.0,83
14997665,6460,27.0,80
14997666,6480,27.0,80
14997667,6510,23.0,81
14997668,6570,22.0,80
14997669,6660,29.0,79
14997670,6690,25.0,79
14997671,6800,19.0,78
14997672,7010,19.0,79
14997673,7320,39.0,80
14997674,7450,23.0,80
14997675,7470,21.0,80
14997676,7520,65.0,80
14997677,7590,41.0,81
14997678,7680,25.0,80
14997679,7710,21.0,81
14997680,7790,22.0,81
14997681,7810,23.0,81
14997682,7860,32.0,80
14997683,7890,31.0,79
14997684,7910,40.0,79
14997685,8080,30.0,82
14997686,8100,30.0,82
14997687,8170,52.0,82
14997688,8220,51.0,83
14997689,8250,27.0,79
14997690,8280,25.0,77
14997691,8320,25.0,78
14997692,8380,23.0,78
14997693,8710,20.0,77
14997694,8930,18.0,77
14997695,9090,33.0,78
14997696,9120,33.0,78
14997697,9200,29.0,77
14997698,9260,16.0,77
14997699,9350,23.0,77
14997700,9380,23.0,77
14997701,9390,21.0,77
14997702,9460,21.0,77
14997703,9620,21.0,77
14997704,9640,22.0,77
14997705,9670,19.0,76
14997706,9690,24.0,77
14997707,9700,23.0,77
14997708,9760,19.0,76
14997709,9820,23.0,78
14997710,9880,20.0,77
14997711,9960,18.0,77
14997712,9970,19.0,77
14997713,10010,18.0,78
14997714,10050,22.0,78
14997715,10070,20.0,77
14997716,10280,31.0,78
14997717,10380,20.0,79
14997718,10440,22.0,79
14997719,10570,18.0,79
14997720,10590,20.0,79
14997721,10640,19.0,79
14997722,10680,15.0,78
14997723,10800,19.0,78
14997724,10890,21.0,81
14997725,10910,25.0,81
14997726,11050,30.0,80
14997727,11290,17.0,79
14997728,11460,21.0,81
14997729,11500,20.0,79
14997730,11640,19.0,78
14997731,11880,19.0,78
14997732,11890,18.0,78
14997733,12030,21.0,78
14997734,12050,20.0,78
14997735,12330,33.0,83
14997736,12520,34.0,84
14997737,12610,31.0,81
14997738,12710,26.0,79
14997739,12820,12.0,76
14997740,12890,14.0,77
14997741,12920,13.0,77
14997742,12950,14.0,78
14997743,13020,13.0,78
14997744,13090,18.0,77
14997745,13150,20.0,78
14997746,13220,20.0,79
14997747,13280,23.0,80
14997748,13330,30.0,83
14997749,13370,28.0,81
14997750,13560,25.0,83
14997751,13590,23.0,81
14997752,13760,30.0,84
14997753,13950,33.0,83
14997754,14160,24.0,84
14997755,14220,30.0,86
14997756,14260,27.0,85
14997757,14290,43.0,85
14997758,14410,25.0,84
14997759,14430,24.0,85
14997760,14450,21.0,84
14997761,14810,35.0,84
14997762,15060,38.0,85
14997763,15120,34.0,86
14997764,15130,32.0,85
14997765,15150,31.0,85
14997766,15890,21.0,85
14997767,15980,22.0,82
14997768,16080,18.0,83
14997769,16200,21.0,83
14997770,16220,27.0,84
14997771,16300,26.0,84
14997772,16380,24.0,84
14997773,16430,23.0,85
14997774,16520,25.0,87
14997775,16540,24.0,88
14997776,16620,20.0,83
14997777,16640,20.0,84
14997778,16820,24.0,84
14997779,16850,22.0,84
14997780,16860,19.0,83
14997781,16880,21.0,84
14997782,16940,22.0,84
14997783,17000,23.0,84
14997784,17040,21.0,84
14997785,17170,39.0,87
14997786,17230,47.0,87
14997787,17270,35.0,88
14997788,17340,37.0,87
14997789,17370,40.0,87
14997790,17440,32.0,87
14997791,17560,33.0,90
14997792,17570,32.0,90
14997793,17670,27.0,87
14997794,17680,21.0,86
14997795,17740,22.0,88
14997796,17860,25.0,85
14997797,17890,23.0,85
14997798,18010,22.0,86
14997799,18040,24.0,87
14997800,18140,26.0,87
14997801,18160,20.0,87
14997802,18310,25.0,86
14997803,18490,20.0,84
14997804,18540,20.0,83
14997805,18590,21.0,83
14997806,18750,25.0,83
14997807,19190,18.0,82
14997808,19270,16.0,82
14997809,19300,17.0,81
14997810,19360,15.0,82
14997811,19380,19.0,83
14997812,19400,19.0,83
14997813,19480,15.0,82
14997814,19750,34.0,86
14997815,20010,40.0,92
14997816,20100,40.0,81
14997817,20120,43.0,80
14997818,20220,42.0,77
14997819,20230,41.0,77
14997820,20250,41.0,77
14997821,20300,42.0,76
14997822,20330,47.0,79
14997823,20390,45.0,79
14997824,20430,45.0,80
14997825,20450,44.0,80
14997826,20460,51.0,80
14997827,20770,55.0,81
14997828,20970,43.0,81
14997829,21230,24.0,76
14997830,21340,35.0,77
14997831,21700,42.0,79
14997832,22000,37.0,81
14997833,22150,33.0,77
14997834,22210,41.0,78
14997835,22300,69.0,84
14997836,22580,78.0,84
14997837,22660,76.0,84
14997838,22690,78.0,85
14997839,22850,71.0,81
14997840,22860,73.0,81
14997841,22870,76.0,82
14997842,22880,80.0,82
14997843,22890,81.0,81
14997844,23020,56.0,80
14997845,23040,52.0,79
14997846,23120,56.0,79
14997847,23260,53.0,80
14997848,23270,55.0,81
14997849,23670,57.0,79
14997850,23900,43.0,79
14997851,24060,48.0,81
14997852,24450,41.0,85
14997853,24470,50.0,85
14997854,24490,46.0,85
14997855,24560,44.0,86
14997856,24610,53.0,88
14997857,24690,44.0,83
14997858,24700,45.0,84
14997859,24770,51.0,83
14997860,24780,46.0,84
14997861,24950,35.0,78
14997862,24990,35.0,78
14997863,25030,40.0,79
14997864,25060,41.0,81
14997865,25190,26.0,76
14997866,25230,24.0,76
14997867,25270,29.0,75
14997868,25310,56.0,79
14997869,25380,35.0,79
14997870,25530,38.0,79
14997871,25710,55.0,81
14997872,25940,36.0,80
14997873,26090,25.0,80
14997874,26200,28.0,81
14997875,26290,28.0,81
14997876,26300,28.0,82
14997877,26350,29.0,81
14997878,26650,23.0,79
14997879,26680,20.0,79
14997880,26720,20.0,79
14997881,26830,38.0,83
14997882,26880,41.0,84
14997883,27000,31.0,86
14997884,27560,33.0,84
14997885,27600,21.0,83
14997886,27660,20.0,85
14997887,27700,18.0,82
14997888,27830,18.0,80
14997889,27980,18.0,79
14997890,27990,21.0,79
14997891,28010,26.0,80
14997892,28120,33.0,83
14997893,28140,27.0,82
14997894,28150,23.0,82
14997895,28310,26.0,82
14997896,28370,22.0,82
14997897,28380,21.0,82
14997898,28430,16.0,80
14997899,28510,21.0,80
14997900,28730,26.0,83
14997901,28760,26.0,83
14997902,28920,40.0,84
14997903,28980,42.0,85
14997904,29100,43.0,82
14997905,29250,34.0,83
14997906,29320,49.0,82
14997907,29350,51.0,83
14997908,29440,44.0,81
14997909,29520,41.0,80
14997910,29570,41.0,80
14997911,29710,51.0,80
14997912,29740,43.0,77
14997913,29760,44.0,78
14997914,29850,52.0,80
14997915,29950,48.0,79
14997916,29960,51.0,80
14997917,30030,46.0,79
14997918,30070,45.0,78
14997919,30130,44.0,77
14997920,30140,43.0,78
14997921,30160,43.0,78
14997922,30270,53.0,81
14997923,30390,46.0,80
14997924,30410,48.0,80
14997925,30890,44.0,77
14997926,30930,44.0,78
14997927,31090,46.0,78
14997928,31160,47.0,78
14997929,31240,48.0,78
14997930,31270,45.0,78
14997931,31320,43.0,77
14997932,31500,49.0,79
14997933,31570,48.0,80
14997934,31650,44.0,78
14997935,31870,45.0,79
14997936,32070,45.0,78
14997937,32400,45.0,79
14997938,32420,45.0,79
14997939,32560,48.0,76
14997940,32630,44.0,77
14997941,32680,49.0,78
14997942,32700,48.0,78
14997943,32850,28.0,78
14997944,32920,25.0,78
14997945,32940,34.0,78
14997946,32970,23.0,78
14997947,33010,34.0,79
14997948,33020,30.0,78
14997949,33070,26.0,79
14997950,33190,32.0,79
14997951,33290,25.0,76
14997952,33480,20.0,77
14997953,33550,22.0,78
14997954,33570,23.0,78
14997955,33690,28.0,82
14997956,33730,26.0,80
14997957,33860,36.0,76
14997958,33870,33.0,76
14997959,33970,22.0,76
14997960,33980,21.0,75
14997961,34240,25.0,76
14997962,34270,26.0,76
14997963,34380,21.0,76
14997964,34430,21.0,76
14997965,34780,25.0,80
14997966,34840,30.0,83
14997967,34870,31.0,82
14997968,34930,33.0,82
14997969,35030,44.0,83
14997970,35070,31.0,83
14997971,35080,32.0,82
14997972,35210,36.0,84
14997973,35240,45.0,86
14997974,35270,40.0,85
14997975,35450,27.0,85
14997976,35460,27.0,85
14997977,35570,27.0,84
14997978,35710,24.0,82
14997979,35720,25.0,82
14997980,35820,26.0,82
14997981,35960,30.0,82
14997982,35990,29.0,84
14997983,36140,31.0,88
14997984,36170,30.0,87
14997985,36220,25.0,86
14997986,36230,25.0,86
14997987,36290,27.0,85
14997988,36330,25.0,86
14997989,36460,34.0,84
14997990,36820,27.0,87
14997991,36860,28.0,87
14997992,37050,28.0,86
14997993,37150,27.0,85
14997994,37180,23.0,84
14997995,37230,27.0,84
14997996,37250,26.0,85
14997997,37340,28.0,84
14997998,37370,31.0,84
14997999,37380,32.0,84
14998000,37420,26.0,85
14998001,37440,28.0,85
14998002,37460,25.0,85
14998003,37480,25.0,85
